B: 	ok deze staan eigenlijk zijn een beker op een tafel en hij hebben paar van die raar bollet zo naar de zijkant 
A: 	o die wokkel dinge ja 
B: 	ja die die die die drie drie van die soort 
A: 	ja nee ja met dat platform en die wokkel en die dat rond ding er voor op 
B: 	ja ja inderdaad zo'n soort schijf ja 
A: 	ja jajaja ok 
A: 	ja nou vijf 
A: 	ok dat zijn die een met die kronkel arm 
A: 	met dat op dat platform 
B: 	o die die jij die jij wokkel noemen 
A: 	zeggen maar met die beetje kristalle 
A: 	ja wokkel inderdaad 
B: 	en met die cirkel aan de voorkant 
A: 	ja precies 
B: 	okan J 
B: 	ok met de wokkel 
A: 	die wokkeloor dinge ja 
B: 	en ja ronde ding aan de voorkant 
A: 	ja ik weten het al ja elf 
A: 	nou die wokkeloren 
B: 	ja met cirkel aan de voorkant 
A: 	wokkel ding 
A: 	ja 
B: 	P 
B: 	wokkel oor 
A: 	nice negen 
A: 	wokkel meneer 
B: 	ja met cirkel aan de voorkant L 
