B: 	er zitten een bal op 
B: 	oké 
B: 	die 
B: 	ja ja D 
A: 	ja 
A: 	even kijken ik hebben het figuur met met de verticaal balk laten maar zeggen 
A: 	die zo rechtop staan en een bal bovenop 
A: 	ja 
A: 	ja 
A: 	even kijken 
A: 	sorry een balk aan de 
A: 	even kijken horen 
A: 	daar ja met die verticaal balk weer 
A: 	ja dat zijn bij mij nummer vijftien 
B: 	volgens mij zijn dit degeen die jij net 
B: 	fietsmand noemen 
B: 	met een bal erop 
B: 	ja ja dun handvaet 
B: 	en een balk 
B: 	ja een verticaal balk 
A: 	ik hebben die met die balk en dat ei bovenop 
B: 	ja 
B: 	L 
A: 	ei bovenop balkje ja nummer zes 
B: 	het fietsmand 
B: 	met de bal 
A: 	ik hebben die met dat ei bovenop en die verticaal balk aan de rechterkant 
B: 	fietsmand 
B: 	J 
B: 	met de bal erin 
A: 	nummer drie 
B: 	het fietsmand met de bal 
