B: 	het voelen een beetje als een ballerina 
B: 	in het midden zijn een soort van vierkant 
B: 	ah 
B: 	het hebben ook zo'n achterkant , soort van lang neus aan de voorkant en aan de linkerkant 
A: 	ja zestien 
A: 	deze hebben ook een vierkant een horizontaal vierkant maar die gaan recht door de emmer heen 
A: 	en dan twee klein balk bovenop de emmer 
A: 	ja 
B: 	ja 
B: 	ja twee precies klein dinge 
B: 	J 
A: 	ja drie 
B: 	soort van vierkant dwars door het kop heen 
B: 	een groot neus naar voren staand 
B: 	aan de linkerkant blokachtig figuur en twee precies heel klein dinge bovenop 
A: 	deze hebben dat vierkant in het midden door de emmer en bovenop die twee klein balk 
A: 	ja vijf 
B: 	ja 
B: 	ja 
B: 	G 
A: 	dat vierkant dat dwars door de emmer heengaten 
B: 	tafel eromheen 
B: 	neus naar voren , twee klein dinge erop 
B: 	ja 
B: 	M 
